school_id,student_id,state_student_id,FirstName,LastName,grade_level,status,StudentEmail,cellphone
1,204,100204,Rikki,Keebler,9,1,student204@ps.com,1552862119
1,208,100208,Barney,Nitzsche,9,1,student208@ps.com,
1,213,100213,Elina,Nolan,9,1,student213@ps.com,5715465855
1,215,100215,Richie,Schowalter,9,1,student215@ps.com,1412274095
1,217,100217,John,Beer,9,1,student217@ps.com,3879965013
1,220,100220,Billy,Franecki,9,1,student220@ps.com,
1,221,100221,Laverne,Dickens,9,1,student221@ps.com,1865220502
1,222,100222,Demetrius,Barton,9,1,student222@ps.com,
1,225,100225,Marielle,Pfannerstill,9,1,student225@ps.com,9707798194
1,226,100226,Ted,McLaughlin,9,1,student226@ps.com,9847826993
1,228,100228,Raylene,Cummings,9,1,student228@ps.com,6777403860
1,233,100233,Karoline,Robel,9,1,student233@ps.com,8383458732
1,239,100239,Noelle,Ankunding,9,1,student239@ps.com,
1,241,100241,Colin,Herzog,9,1,student241@ps.com,7754817725
1,242,100242,Milton,Heaney,9,1,student242@ps.com,5064826551
1,243,100243,Sam,Howell,9,1,student243@ps.com,2219292801
1,246,100246,Brianna,Schultz,9,1,student246@ps.com,2724290519
1,251,100251,Jeffery,White,9,1,student251@ps.com,5349369541
1,255,100255,Dale,Keeling,9,1,student255@ps.com,4266274261
1,261,100261,Jamison,Donnelly,9,1,student261@ps.com,6408434276
1,263,100263,Loriann,Mueller,9,1,student263@ps.com,3378829883
1,272,100272,Elinor,Cole,9,1,student272@ps.com,2628062441
1,276,100276,Refugio,Kilback,9,1,student276@ps.com,4482331149
1,277,100277,Kathy,Wilderman,9,1,student277@ps.com,1467214473
1,294,100294,Lilla,Paucek,9,1,student294@ps.com,
1,297,100297,Adele,Schmeler,9,1,student297@ps.com,3428603451
1,298,100298,Joycelyn,Brakus,9,1,student298@ps.com,2046284713
1,301,100301,Anh,Denesik,9,1,student301@ps.com,4993587220
1,310,100310,Rogelio,Murazik,9,1,student310@ps.com,2139554277
1,315,100315,Cari,Krajcik,9,1,student315@ps.com,6481790573
1,320,100320,Sharilyn,Lynch,9,1,student320@ps.com,6858747323
1,329,100329,Pa,Mills,9,1,student329@ps.com,2041524660
1,332,100332,Sharleen,Mueller,9,1,student332@ps.com,8524895964
1,344,100344,Foster,Keebler,9,1,student344@ps.com,9518675803
1,351,100351,Marceline,Goodwin,9,1,student351@ps.com,4337650221
1,352,100352,Cristin,Mosciski,9,1,student352@ps.com,9822028064
1,355,100355,Wan,OHara,9,1,student355@ps.com,6245589858
1,356,100356,Renato,Crooks,9,1,student356@ps.com,5719607899
1,361,100361,Gayle,Schaden,9,1,student361@ps.com,3237854615
1,363,100363,Lupita,Gusikowski,9,1,student363@ps.com,4371311200
1,367,100367,Mckinley,Ernser,9,1,student367@ps.com,9339988374
1,368,100368,Stacey,Schamberger,9,1,student368@ps.com,9720236160
1,370,100370,Shelby,Feest,9,1,student370@ps.com,4917644707
1,378,100378,Mauricio,Paucek,9,1,student378@ps.com,8888785966
1,385,100385,Lacie,Medhurst,9,1,student385@ps.com,1920072215
1,387,100387,Ethan,Bradtke,9,1,student387@ps.com,8863889796
1,389,100389,Alfonso,Shanahan,9,1,student389@ps.com,5012573886
1,394,100394,Ashley,Labadie,9,1,student394@ps.com,1593392317
