school_id,student_id,FirstName,LastName,email,mobile,language
1,200,Del,Walter,louis@schultz.io,3740429601,Mixtec
1,200,Randal,Emmerich,josphinekautzer@wunsch.net,7163214601,Hindi
1,202,Clara,Frami,darinrowe@dareschmeler.com,4694096299,
1,202,Sol,Emard,salome@wilkinson.io,5975321657,Spanish
1,204,Lynell,Sporer,luanna@schmidt.co,2060089368,Hindi
1,204,Jeromy,Abernathy,felishawilliamson@sanford.io,,Mixtec
1,206,Yolanda,OConner,meria@windler.co,5678848995,Mixtec
1,206,Patty,Welch,,4522141217,Urdu
1,208,Lovie,Brown,lonokon@bergekunze.com,9696074183,Hindi
1,209,Nona,Weber,joellewelch@stracke.net,,Mixtec
1,210,Mercedes,Schinner,donita@schulistpacocha.co,8048166499,Urdu
1,211,Michel,Murazik,elmer@predovic.name,3775328753,
1,211,Raul,Moen,king@upton.org,3622466683,Hindi
1,213,Coy,Heaney,ben@lindgren.com,,Hindi
1,214,Delphia,Sanford,,9911627556,Urdu
1,215,Foster,Wilkinson,hertaebert@okuneva.com,5411418313,English
1,216,Ricardo,Brown,david@cruickshank.biz,3278572157,English
1,216,Madge,Deckow,garryroob@kohler.io,,
1,218,Doyle,Vandervort,will@hermiston.net,4223045198,Mixtec
1,218,Rosana,Mante,amostoy@satterfield.biz,6220311218,Hindi
1,220,Emiko,Schimmel,jovitarippin@gusikowski.biz,3695736227,Portuguese
1,221,Beatriz,Abshire,teresia@hirthelabadie.co,3692053973,Mixtec
1,222,Shonta,OConner,brandon@baumbach.co,7040590289,Mixtec
1,222,Simon,Kunde,roselia@beer.co,2164729798,Portuguese
1,224,Brunilda,West,kate@bradtkesmith.com,7478550414,Hindi
1,224,Madison,Douglas,johnettebechtelar@luettgen.info,8682878344,Spanish
1,226,Hollis,Quigley,osvaldooreilly@shieldsmaggio.io,4373536932,Urdu
1,227,Delsie,Bogan,nathaniel@braun.name,4047240739,Spanish
1,228,Blair,Schmidt,othazieme@glover.info,4378645112,Portuguese
1,229,Shawnee,Gusikowski,manualheel@altenwerth.com,,Mixtec
1,230,Leone,Bahringer,charierowe@cremin.com,3344129639,Hindi
1,231,Andreas,Lehner,tonyabraun@nienow.info,2711685222,Urdu
1,232,Rickie,McKenzie,shawnna@bechtelar.net,9988765898,Mixtec
1,232,Berna,Carroll,,9510160165,Urdu
1,234,Jillian,Rosenbaum,ayeshaglover@turner.org,5834499452,Spanish
1,234,Merrill,Hintz,charlsie@douglasprice.co,8086023880,Hindi
1,236,Quinton,Graham,aaroncormier@streich.org,9310922776,Spanish
1,237,Veda,Ryan,hyookeefe@rutherfordgibson.info,9251034081,Mixtec
1,238,Klara,Kertzmann,savannah@grimes.org,2310746130,English
1,239,Gilbert,Bashirian,valentinrunte@bartoletti.name,6801320420,Portuguese
1,239,Sung,Walker,johnnadubuque@jacobs.net,7918642895,Spanish
1,241,Glady,Moen,,4434077261,Hindi
1,242,Cecil,Mitchell,yuki@olson.com,4428213516,
1,243,Earlene,Walsh,sulemakoch@greenfelderschowalter.net,2117369168,Hindi
1,243,Serina,Zulauf,dellaconnelly@strosin.name,2816554463,Hindi
1,245,Malik,Zulauf,debrahbatz@satterfield.info,9546989893,Mixtec
1,246,Cary,Wunsch,chadwick@hammestreutel.org,4088564845,Hindi
1,246,Genesis,Flatley,,6775915457,Portuguese
1,248,Janeen,Waters,rufusgrant@darenikolaus.info,9218371557,Hindi
1,249,Naida,Gleichner,,5020472341,Spanish
